time,node
24.959600,3
24.959900,6
24.970000,1
24.989900,2
25.000300,4
25.003700,2
25.015800,5
25.016500,0
25.024000,0
25.037400,5
25.054900,0
25.072800,0
25.105900,3
25.122800,6
25.127300,6
25.130600,2
25.134500,2
25.142300,2
25.162300,3
25.195500,0
25.195800,6
25.202500,6
25.217600,2
25.219700,0
25.222300,2
25.237200,0
25.239100,4
25.245700,0
25.253100,4
25.266900,4
25.270900,0
25.277300,4
25.278900,0
25.294000,0
25.301200,0
25.304500,4
25.308600,0
25.311200,4
25.318400,1
25.323600,0
25.324300,4
25.324900,1
25.333400,6
25.336100,0
25.340600,2
25.346200,2
25.352500,0
25.356600,1
25.364800,2
25.376800,1
25.386300,0
25.388400,3
25.445600,2
25.452700,3
25.457600,4
25.457600,5
25.468400,2
25.472100,2
25.473900,5
25.479500,2
25.485200,4
25.516200,0
25.521800,1
25.533400,1
25.538700,1
25.541700,4
25.545000,2
25.549700,2
25.564300,0
25.575500,0
25.605900,4
25.617500,4
25.618300,2
25.628200,6
25.630700,4
25.631800,3
25.678300,3
25.679200,0
25.685900,3
25.692800,4
25.704800,0
25.705100,4
25.716400,0
25.717700,4
25.741300,6
25.741900,0
25.746400,6
25.752300,2
25.755900,2
25.760500,2
25.761700,0
25.770400,0
25.817600,2
25.821500,4
25.822400,2
25.861600,4
25.865100,2
25.870200,2
25.873500,4
25.884900,4
25.901600,0
25.912900,0
25.914200,1
25.914900,3
25.917900,4
25.922700,3
25.931700,4
25.955100,3
25.955600,2
25.961600,2
25.967400,1
26.010100,6
26.025800,3
26.031200,3
26.037100,2
26.043800,2
26.046700,0
26.057000,0
26.064100,0
26.096200,6
26.112700,3
26.122900,5
26.129600,5
26.136700,5
26.142500,2
26.144200,5
26.148800,2
26.150600,5
26.158200,0
26.182500,0
26.188600,0
26.216500,3
26.229300,6
26.259400,4
26.271000,4
26.295800,4
26.302600,0
26.308400,0
26.314600,0
26.318300,3
26.321100,0
26.324100,3
26.328500,6
26.329600,0
26.331800,2
26.333100,6
26.334200,3
26.335800,3
26.336600,0
26.341900,3
26.342200,0
26.347700,1
26.349500,0
26.353600,2
26.360200,1
26.360200,6
26.364600,3
26.380600,0
26.395100,3
26.406700,1
26.419300,6
26.423500,3
26.445400,0
26.454800,0
26.473100,1
26.476100,4
26.490200,0
26.499900,4
26.508200,5
26.513100,4
26.525500,4
26.526800,0
26.548800,0
26.564400,4
26.575400,4
26.581100,0
26.593800,0
26.596300,6
26.602700,1
26.632600,2
26.632900,6
26.636200,2
26.640200,0
26.654900,4
26.679500,2
26.686300,2
26.700300,4
26.713800,4
26.725000,4
26.736300,4
26.748200,4
26.748900,0
26.751300,2
26.757500,2
26.813800,2
26.846300,6
26.849700,0
26.851300,4
26.860200,0
26.882900,0
26.913700,0
26.921600,0
26.936400,3
26.952500,2
26.957000,2
26.984600,3
26.994600,2
27.015800,3
27.035000,6
27.038800,2
27.045300,3
27.064400,0
27.072400,0
27.079800,0
27.084800,4
27.093000,0
27.095800,4
27.099700,0
27.180200,2
27.182300,6
27.187200,6
27.191600,2
27.235400,2
27.240000,2
27.259000,4
27.279100,4
27.303400,4
27.313000,4
27.332800,0
27.335300,4
27.348900,0
27.354700,0
27.363400,0
27.368800,1
27.394000,4
27.408400,4
27.451100,6
27.452500,0
27.453200,3
27.455400,6
27.459100,4
27.468700,0
27.470100,4
27.475000,2
27.477900,0
27.480500,2
27.483200,6
27.483300,4
27.487700,0
27.503600,0
27.517300,3
27.524600,3
27.551500,6
27.584100,0
27.601600,0
27.613800,4
27.626700,4
27.633200,0
27.638100,4
27.653200,4
27.654300,0
27.671700,3
27.702100,6
27.709200,3
27.712300,0
27.753700,0
27.755600,3
27.768400,5
27.775800,0
27.777400,2
27.779200,5
27.784900,5
27.788400,4
27.790100,5
27.795300,0
27.795700,5
27.797100,4
27.801100,5
27.803000,3
27.812800,0
27.817600,5
27.823500,0
27.836300,4
27.842400,4
27.844400,0
27.859000,0
27.884600,2
27.888500,2
27.903500,6
27.925800,3
27.934300,3
27.943300,2
27.948000,2
27.953300,2
27.954000,3
27.961800,3
27.976000,1
28.012800,0
28.029500,4
28.034100,0
28.037700,6
28.040800,0
28.043400,6
28.058400,3
28.058600,2
28.062600,2
28.085700,0
28.101900,0
28.111600,0
28.115200,4
28.120800,0
28.128800,4
28.128900,0
28.139600,1
28.140500,4
28.147000,1
28.151600,4
28.154800,1
28.162200,4
28.184600,2
28.188300,6
28.189000,2
28.189500,3
28.245800,0
28.256500,0
28.262500,0
28.269500,0
28.281800,0
28.291300,4
28.303600,4
28.305000,0
28.317200,4
28.322800,1
28.389700,4
28.391100,2
28.395500,2
28.400600,4
28.405700,2
28.411100,2
28.412200,4
28.421100,6
28.424400,3
28.425400,6
28.448600,0
28.490700,3
28.494800,0
28.502600,0
28.515300,6
28.521700,6
28.530900,2
28.531600,3
28.536000,2
28.537700,3
28.562700,0
28.570500,0
28.574100,3
28.579200,0
28.586200,1
28.595300,3
28.609700,6
28.614700,4
28.620000,0
28.627500,0
28.639300,4
28.644100,0
28.649200,4
28.670100,1
28.689300,2
28.693800,2
28.721500,2
28.725700,2
28.739100,5
28.756200,5
28.775000,2
28.812700,6
28.832600,2
28.839100,2
28.858300,4
28.860100,0
28.869800,4
28.872500,0
28.880600,0
28.880900,4
28.886300,0
28.901300,0
28.909900,0
28.929000,0
28.937100,0
28.942600,1
28.948500,0
